Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,325,111,3,3,3.5,8.7,0,0.52
1,325,112,4,3.5,3.5,8.92,0,0.55
1,327,114,3,3,3,9.02,0,0.61
1,316,107,2,3.5,3.5,8.64,1,0.57
1,318,109,3,3.5,4,9.22,1,0.68
1,328,115,4,4.5,4,9.16,1,0.78
1,332,118,5,5,5,9.64,1,0.94
1,336,112,5,5,5,9.76,1,0.96
1,321,111,5,5,5,9.45,1,0.93
1,314,108,4,4.5,4,9.04,1,0.84
1,314,106,3,3,5,8.9,0,0.74
1,329,114,2,2,4,8.56,1,0.72
1,327,112,3,3,3,8.72,1,0.74
1,301,99,2,3,2,8.22,0,0.64
1,296,95,2,3,2,7.54,1,0.44
1,294,93,1,1.5,2,7.36,0,0.46
1,312,105,3,2,3,8.02,1,0.5
1,340,120,4,5,5,9.5,1,0.96
1,320,110,5,5,4.5,9.22,1,0.92
1,322,115,5,4,4.5,9.36,1,0.92
1,340,115,5,4.5,4.5,9.45,1,0.94
1,319,103,4,4.5,3.5,8.66,0,0.76
1,315,106,3,4.5,3.5,8.42,0,0.72
1,317,107,2,3.5,3,8.28,0,0.66
1,314,108,3,4.5,3.5,8.14,0,0.64
1,316,109,4,4.5,3.5,8.76,1,0.74
1,318,106,2,4,4,7.92,1,0.64
1,299,97,3,5,3.5,7.66,0,0.38
1,298,98,2,4,3,8.03,0,0.34
1,301,97,2,3,3,7.88,1,0.44
1,303,99,3,2,2.5,7.66,0,0.36
1,304,100,4,1.5,2.5,7.84,0,0.42
1,306,100,2,3,3,8,0,0.48
1,331,120,3,4,4,8.96,1,0.86
1,332,119,4,5,4.5,9.24,1,0.9
1,323,113,3,4,4,8.88,1,0.79
1,322,107,3,3.5,3.5,8.46,1,0.71
1,312,105,2,2.5,3,8.12,0,0.64
1,314,106,2,4,3.5,8.25,0,0.62
1,317,104,2,4.5,4,8.47,0,0.57
1,326,112,3,3.5,3,9.05,1,0.74
1,316,110,3,4,4.5,8.78,1,0.69
1,329,111,4,4.5,4.5,9.18,1,0.87
1,338,117,4,3.5,4.5,9.46,1,0.91
1,331,116,5,5,5,9.38,1,0.93
1,304,103,5,5,4,8.64,0,0.68
1,305,108,5,3,3,8.48,0,0.61
1,321,109,4,4,4,8.68,1,0.69
1,301,107,3,3.5,3.5,8.34,1,0.62
1,320,110,2,4,3.5,8.56,0,0.72
1,311,105,3,3.5,3,8.45,1,0.59
1,310,106,4,4.5,4.5,9.04,1,0.66
1,299,102,3,4,3.5,8.62,0,0.56
1,290,104,4,2,2.5,7.46,0,0.45
1,296,99,2,3,3.5,7.28,0,0.47
1,327,104,5,3,3.5,8.84,1,0.71
1,335,117,5,5,5,9.56,1,0.94
1,334,119,5,4.5,4.5,9.48,1,0.94
1,310,106,4,1.5,2.5,8.36,0,0.57
1,308,108,3,3.5,3.5,8.22,0,0.61
1,301,106,4,2.5,3,8.47,0,0.57
1,300,100,3,2,3,8.66,1,0.64
1,323,113,3,4,3,9.32,1,0.85
1,319,112,3,2.5,2,8.71,1,0.78
1,326,112,3,3.5,3,9.1,1,0.84
1,333,118,5,5,5,9.35,1,0.92
1,339,114,5,4,4.5,9.76,1,0.96
1,303,105,5,5,4.5,8.65,0,0.77
1,309,105,5,3.5,3.5,8.56,0,0.71
1,323,112,5,4,4.5,8.78,0,0.79
1,333,113,5,4,4,9.28,1,0.89
1,314,109,4,3.5,4,8.77,1,0.82
1,312,103,3,5,4,8.45,0,0.76
1,316,100,2,1.5,3,8.16,1,0.71
1,326,116,2,4.5,3,9.08,1,0.8
1,318,109,1,3.5,3.5,9.12,0,0.78
1,329,110,2,4,3,9.15,1,0.84
1,332,118,2,4.5,3.5,9.36,1,0.9
1,331,115,5,4,3.5,9.44,1,0.92
1,340,120,4,4.5,4,9.92,1,0.97
1,325,112,2,3,3.5,8.96,1,0.8
1,320,113,2,2,2.5,8.64,1,0.81
1,315,105,3,2,2.5,8.48,0,0.75
1,326,114,3,3,3,9.11,1,0.83
1,339,116,4,4,3.5,9.8,1,0.96
1,311,106,2,3.5,3,8.26,1,0.79
1,334,114,4,4,4,9.43,1,0.93
1,332,116,5,5,5,9.28,1,0.94
1,321,112,5,5,5,9.06,1,0.86
1,324,105,3,3,4,8.75,0,0.79
1,326,108,3,3,3.5,8.89,0,0.8
1,312,109,3,3,3,8.69,0,0.77
1,315,105,3,2,2.5,8.34,0,0.7
1,309,104,2,2,2.5,8.26,0,0.65
1,306,106,2,2,2.5,8.14,0,0.61
1,297,100,1,1.5,2,7.9,0,0.52
1,315,103,1,1.5,2,7.86,0,0.57
1,298,99,1,1.5,3,7.46,0,0.53
1,318,109,3,3,3,8.5,0,0.67
1,317,105,3,3.5,3,8.56,0,0.68
1,329,111,4,4.5,4,9.01,1,0.81
1,322,110,5,4.5,4,8.97,0,0.78
1,302,102,3,3.5,5,8.33,0,0.65
1,313,102,3,2,3,8.27,0,0.64
1,293,97,2,2,4,7.8,1,0.64
1,311,99,2,2.5,3,7.98,0,0.65
1,312,101,2,2.5,3.5,8.04,1,0.68
1,334,117,5,4,4.5,9.07,1,0.89
1,322,110,4,4,5,9.13,1,0.86
1,323,113,4,4,4.5,9.23,1,0.89
1,321,111,4,4,4,8.97,1,0.87
1,320,111,4,4.5,3.5,8.87,1,0.85
1,329,119,4,4.5,4.5,9.16,1,0.9
1,319,110,3,3.5,3.5,9.04,0,0.82
1,309,108,3,2.5,3,8.12,0,0.72
1,307,102,3,3,3,8.27,0,0.73
1,300,104,3,3.5,3,8.16,0,0.71
1,305,107,2,2.5,2.5,8.42,0,0.71
1,299,100,2,3,3.5,7.88,0,0.68
1,314,110,3,4,4,8.8,0,0.75
1,316,106,2,2.5,4,8.32,0,0.72
1,327,113,4,4.5,4.5,9.11,1,0.89
1,317,107,3,3.5,3,8.68,1,0.84
1,335,118,5,4.5,3.5,9.44,1,0.93
1,331,115,5,4.5,3.5,9.36,1,0.93
1,324,112,5,5,5,9.08,1,0.88
1,324,111,5,4.5,4,9.16,1,0.9
1,323,110,5,4,5,8.98,1,0.87
1,322,114,5,4.5,4,8.94,1,0.86
1,336,118,5,4.5,5,9.53,1,0.94
1,316,109,3,3.5,3,8.76,0,0.77
1,307,107,2,3,3.5,8.52,1,0.78
1,306,105,2,3,2.5,8.26,0,0.73
1,310,106,2,3.5,2.5,8.33,0,0.73
1,311,104,3,4.5,4.5,8.43,0,0.7
1,313,107,3,4,4.5,8.69,0,0.72
1,317,103,3,2.5,3,8.54,1,0.73
1,315,110,2,3.5,3,8.46,1,0.72
1,340,120,5,4.5,4.5,9.91,1,0.97
1,334,120,5,4,5,9.87,1,0.97
1,298,105,3,3.5,4,8.54,0,0.69
1,295,99,2,2.5,3,7.65,0,0.57
1,315,99,2,3.5,3,7.89,0,0.63
1,310,102,3,3.5,4,8.02,1,0.66
1,305,106,2,3,3,8.16,0,0.64
1,301,104,3,3.5,4,8.12,1,0.68
1,325,108,4,4.5,4,9.06,1,0.79
1,328,110,4,5,4,9.14,1,0.82
1,338,120,4,5,5,9.66,1,0.95
1,333,119,5,5,4.5,9.78,1,0.96
1,331,117,4,4.5,5,9.42,1,0.94
1,330,116,5,5,4.5,9.36,1,0.93
1,322,112,4,4.5,4.5,9.26,1,0.91
1,321,109,4,4,4,9.13,1,0.85
1,324,110,4,3,3.5,8.97,1,0.84
1,312,104,3,3.5,3.5,8.42,0,0.74
1,313,103,3,4,4,8.75,0,0.76
1,316,110,3,3.5,4,8.56,0,0.75
1,324,113,4,4.5,4,8.79,0,0.76
1,308,109,2,3,4,8.45,0,0.71
1,305,105,2,3,2,8.23,0,0.67
1,296,99,2,2.5,2.5,8.03,0,0.61
1,306,110,2,3.5,4,8.45,0,0.63
1,312,110,2,3.5,3,8.53,0,0.64
1,318,112,3,4,3.5,8.67,0,0.71
1,324,111,4,3,3,9.01,1,0.82
1,313,104,3,4,4.5,8.65,0,0.73
1,319,106,3,3.5,2.5,8.33,1,0.74
1,312,107,2,2.5,3.5,8.27,0,0.69
1,304,100,2,2.5,3.5,8.07,0,0.64
1,330,113,5,5,4,9.31,1,0.91
