Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1,327,113,4,4.5,5,9.14,0,0.83
1,308,108,4,4.5,5,8.34,0,0.77
1,306,105,2,2.5,3,8.22,1,0.72
1,299,96,2,1.5,2,7.86,0,0.54
1,294,95,1,1.5,1.5,7.64,0,0.49
1,312,99,1,1,1.5,8.01,1,0.52
1,315,100,1,2,2.5,7.95,0,0.58
1,322,110,3,3.5,3,8.96,1,0.78
1,329,113,5,5,4.5,9.45,1,0.89
1,320,101,2,2.5,3,8.62,0,0.7
1,308,103,2,3,3.5,8.49,0,0.66
1,304,102,2,3,4,8.73,0,0.67
1,311,102,3,4.5,4,8.64,1,0.68
1,317,110,3,4,4.5,9.11,1,0.8
1,312,106,3,4,3.5,8.79,1,0.81
1,321,111,3,2.5,3,8.9,1,0.8
1,340,112,4,5,4.5,9.66,1,0.94
1,331,116,5,4,4,9.26,1,0.93
1,336,118,5,4.5,4,9.19,1,0.92
1,324,114,5,5,4.5,9.08,1,0.89
1,314,104,4,5,5,9.02,0,0.82
1,313,109,3,4,3.5,9,0,0.79
1,307,105,2,2.5,3,7.65,0,0.58
1,300,102,2,1.5,2,7.87,0,0.56
1,302,99,2,1,2,7.97,0,0.56
1,312,98,1,3.5,3,8.18,1,0.64
1,316,101,2,2.5,2,8.32,1,0.61
1,317,100,2,3,2.5,8.57,0,0.68
1,310,107,3,3.5,3.5,8.67,0,0.76
1,320,120,3,4,4.5,9.11,0,0.86
1,330,114,3,4.5,4.5,9.24,1,0.9
1,305,112,3,3,3.5,8.65,0,0.71
1,309,106,2,2.5,2.5,8,0,0.62
1,319,108,2,2.5,3,8.76,0,0.66
1,322,105,2,3,3,8.45,1,0.65
1,323,107,3,3.5,3.5,8.55,1,0.73
1,313,106,2,2.5,2,8.43,0,0.62
1,321,109,3,3.5,3.5,8.8,1,0.74
1,323,110,3,4,3.5,9.1,1,0.79
1,325,112,4,4,4,9,1,0.8
1,312,108,3,3.5,3,8.53,0,0.69
1,308,110,4,3.5,3,8.6,0,0.7
1,320,104,3,3,3.5,8.74,1,0.76
1,328,108,4,4.5,4,9.18,1,0.84
1,311,107,4,4.5,4.5,9,1,0.78
1,301,100,3,3.5,3,8.04,0,0.67
1,305,105,2,3,4,8.13,0,0.66
1,308,104,2,2.5,3,8.07,0,0.65
1,298,101,2,1.5,2,7.86,0,0.54
1,300,99,1,1,2.5,8.01,0,0.58
1,324,111,3,2.5,2,8.8,1,0.79
1,327,113,4,3.5,3,8.69,1,0.8
1,317,106,3,4,3.5,8.5,1,0.75
1,323,104,3,4,4,8.44,1,0.73
1,314,107,2,2.5,4,8.27,0,0.72
1,305,102,2,2,2.5,8.18,0,0.62
1,315,104,3,3,2.5,8.33,0,0.67
1,326,116,3,3.5,4,9.14,1,0.81
1,299,100,3,2,2,8.02,0,0.63
1,295,101,2,2.5,2,7.86,0,0.69
1,324,112,4,4,3.5,8.77,1,0.8
1,297,96,2,2.5,1.5,7.89,0,0.43
1,327,113,3,3.5,3,8.66,1,0.8
1,311,105,2,3,2,8.12,1,0.73
1,308,106,3,3.5,2.5,8.21,1,0.75
1,319,108,3,3,3.5,8.54,1,0.71
1,312,107,4,4.5,4,8.65,1,0.73
1,325,111,4,4,4.5,9.11,1,0.83
1,319,110,3,3,2.5,8.79,0,0.72
1,332,118,5,5,5,9.47,1,0.94
1,323,108,5,4,4,8.74,1,0.81
1,324,107,5,3.5,4,8.66,1,0.81
1,312,107,3,3,3,8.46,1,0.75
1,326,110,3,3.5,3.5,8.76,1,0.79
1,308,106,3,3,3,8.24,0,0.58
1,305,103,2,2.5,3.5,8.13,0,0.59
1,295,96,2,1.5,2,7.34,0,0.47
1,316,98,1,1.5,2,7.43,0,0.49
1,304,97,2,1.5,2,7.64,0,0.47
1,299,94,1,1,1,7.34,0,0.42
1,302,99,1,2,2,7.25,0,0.57
1,313,101,3,2.5,3,8.04,0,0.62
1,318,107,3,3,3.5,8.27,1,0.74
1,325,110,4,3.5,4,8.67,1,0.73
1,303,100,2,3,3.5,8.06,1,0.64
1,300,102,3,3.5,2.5,8.17,0,0.63
